"FullName","LastWriteTime","Length"
"F:\2023\IMG_4719.JPG","12/26/2022 2:58:50 AM","4617628"
"F:\2023\IMG_4720.JPG","12/26/2022 2:58:54 AM","3844593"
"F:\2023\IMG_4721.JPG","12/26/2022 2:58:58 AM","3297386"
"F:\2023\IMG_4722.JPG","12/26/2022 2:59:04 AM","4323737"
"F:\2023\IMG_4723.JPG","12/26/2022 3:00:08 AM","2335681"
"F:\2023\IMG_4724.JPG","12/26/2022 3:00:10 AM","2664234"
"F:\2023\IMG_4725.JPG","12/26/2022 3:00:24 AM","3209359"
"F:\2023\IMG_4726.JPG","12/26/2022 3:00:28 AM","3322387"
"F:\2023\IMG_4727.JPG","12/26/2022 3:00:34 AM","3718871"
"F:\2023\IMG_4728.JPG","12/26/2022 3:01:08 AM","3461894"
"F:\2023\IMG_4729.JPG","12/26/2022 3:01:12 AM","4043293"
"F:\2023\IMG_4730.JPG","12/26/2022 3:01:14 AM","4291169"
"F:\2023\IMG_4731.JPG","12/26/2022 3:01:18 AM","3217501"
"F:\2023\IMG_4732.JPG","12/26/2022 3:01:20 AM","3501361"
"F:\2023\IMG_4733.JPG","12/26/2022 3:01:34 AM","4347570"
"F:\2023\IMG_4734.JPG","12/26/2022 3:01:40 AM","2992827"
"F:\2023\IMG_4735.JPG","12/26/2022 3:10:42 AM","4164194"
"F:\2023\IMG_4736.JPG","12/26/2022 3:10:48 AM","4837985"
"F:\2023\IMG_4737.JPG","12/26/2022 3:10:50 AM","3614755"
"F:\2023\IMG_4738.JPG","12/26/2022 3:11:10 AM","4593786"
"F:\2023\IMG_4739.JPG","12/26/2022 3:11:14 AM","5313195"
"F:\2023\IMG_4740.JPG","12/26/2022 3:11:16 AM","5130024"
"F:\2023\IMG_4741.JPG","12/26/2022 3:11:32 AM","2983246"
"F:\2023\IMG_4742.JPG","12/26/2022 3:11:36 AM","2833478"
"F:\2023\IMG_4743.JPG","12/26/2022 3:11:44 AM","2935405"
"F:\2023\IMG_4744.JPG","12/26/2022 3:11:48 AM","3212738"
"F:\2023\IMG_4745.JPG","12/26/2022 3:17:54 AM","4851578"
"F:\2023\IMG_4746.JPG","12/26/2022 3:30:14 AM","4425758"
"F:\2023\IMG_4747.JPG","12/26/2022 3:30:18 AM","5319550"
"F:\2023\IMG_4748.JPG","12/26/2022 3:30:24 AM","5121123"
"F:\2023\IMG_4749.JPG","12/26/2022 3:30:30 AM","6085629"
"F:\2023\IMG_4750.JPG","12/26/2022 3:30:36 AM","4023076"
"F:\2023\IMG_4751.JPG","12/26/2022 3:30:40 AM","4714567"
"F:\2023\IMG_4752.JPG","12/26/2022 3:30:44 AM","4494367"
"F:\2023\IMG_4753.JPG","12/26/2022 3:32:32 AM","4175444"
"F:\2023\IMG_4754.JPG","12/26/2022 3:32:34 AM","3410403"
"F:\2023\IMG_4755.JPG","12/26/2022 3:32:42 AM","4381197"
"F:\2023\IMG_4756.JPG","12/26/2022 3:32:48 AM","4310399"
"F:\2023\IMG_4757.JPG","12/26/2022 3:34:40 AM","3855890"
"F:\2023\IMG_4758.JPG","12/26/2022 3:35:08 AM","5688679"
"F:\2023\IMG_4759.JPG","12/26/2022 3:35:20 AM","4318002"
"F:\2023\IMG_4760.JPG","12/26/2022 3:35:28 AM","3196304"
"F:\2023\IMG_4761.JPG","12/26/2022 3:36:12 AM","3663591"
"F:\2023\IMG_4762.JPG","12/26/2022 3:36:22 AM","4904202"
"F:\2023\IMG_4763.JPG","12/26/2022 3:36:48 AM","3634636"
"F:\2023\IMG_4764.JPG","12/26/2022 3:45:48 AM","3325696"
"F:\2023\IMG_4765.JPG","12/26/2022 3:45:52 AM","3611762"
"F:\2023\IMG_4766.JPG","12/26/2022 3:46:02 AM","2898356"
"F:\2023\IMG_4767.JPG","12/26/2022 3:53:38 AM","4405456"
"F:\2023\IMG_4768.JPG","12/26/2022 3:53:40 AM","4889813"
"F:\2023\IMG_4769.JPG","12/26/2022 3:53:48 AM","5125834"
"F:\2023\IMG_4770.JPG","12/26/2022 3:53:50 AM","5025804"
"F:\2023\IMG_4771.JPG","12/26/2022 3:53:50 AM","5011828"
"F:\2023\IMG_4772.JPG","12/26/2022 3:54:02 AM","5001862"
"F:\2023\IMG_4773.JPG","12/26/2022 3:54:04 AM","4579748"
"F:\2023\IMG_4774.JPG","12/26/2022 3:54:32 AM","3892584"
"F:\2023\IMG_4775.JPG","12/26/2022 3:54:34 AM","3266673"
"F:\2023\IMG_4776.JPG","12/26/2022 3:54:46 AM","3072068"
"F:\2023\IMG_4777.JPG","12/26/2022 3:54:54 AM","3884760"
"F:\2023\IMG_4778.JPG","12/26/2022 3:55:02 AM","3635585"
"F:\2023\IMG_4779.JPG","12/26/2022 3:55:04 AM","3481681"
"F:\2023\IMG_4780.JPG","12/26/2022 3:55:06 AM","3301767"
"F:\2023\IMG_4781.JPG","12/26/2022 3:55:10 AM","3215588"
"F:\gpro2023\DCIM\101GOPRO\G0060022.JPG","7/2/2023 8:14:38 AM","3284502"
"F:\gpro2023\DCIM\101GOPRO\G0060023.JPG","7/2/2023 8:14:47 AM","3233554"
"F:\gpro2023\DCIM\101GOPRO\G0060024.JPG","7/2/2023 8:14:57 AM","3238459"
"F:\gpro2023\DCIM\101GOPRO\G0070034.JPG","12/23/2023 9:38:11 PM","3356465"
"F:\gpro2023\DCIM\101GOPRO\G0070035.JPG","12/23/2023 9:38:20 PM","3262746"
